magdalenas,🥫alacena
crackers,🥫alacena
aceite,🥫alacena
café,🥫alacena
azucar,🥫alacena
sal,🥫alacena
pasta,🥫alacena
jabon tocador,🛀baño
detergente,🛀baño
servilletas,🛀baño
dentifrico,🛀baño
desodorante,🛀baño
acondicionador,🛀baño
shampoo,🛀baño
bolsitas bruno,🛀baño
pescado,❄️freezer
carne,❄️freezer
pollo,❄️freezer
huevos,🥛heladera
fiambre,🥛heladera
mayonesa,🥛heladera
manteca,🥛heladera
leche,🥛heladera
queso rallado,🥛heladera
salsa tomate,🥛heladera
gaseosa,🥛heladera
bolsas basura,🪣limpieza
jabon ropa,🪣limpieza
